fips,county,state,start_date,avg_delta_cases_per_100k
06075,San Francisco,California,2021-09-11,55.42158868665994
06001,Alameda,California,2021-09-11,51.703153383480746
06013,Contra Costa,California,2021-09-11,50.55861415587649
06041,Marin,California,2021-09-11,39.44597847946913
06055,Napa,California,2021-09-11,59.39653482174797
06081,San Mateo,California,2021-09-11,56.82915312142432
06085,Santa Clara,California,2021-09-11,53.729917851225515
06095,Solano,California,2021-09-11,53.20018425783399
06097,Sonoma,California,2021-09-11,53.12554186436049
41051,Multnomah,Oregon,2021-09-11,43.092906444758555
41009,Columbia,Oregon,2021-09-11,45.87235535965452
41027,Hood River,Oregon,2021-09-11,44.810567993815894
41005,Clackamas,Oregon,2021-09-11,44.53726300865081
41067,Washington,Oregon,2021-09-11,47.04489479254875
53033,King,Washington,2021-09-11,55.38856742525318
53061,Snohomish,Washington,2021-09-11,61.73598972368236
53035,Kitsap,Washington,2021-09-11,51.029526050680964
53037,Kittitas,Washington,2021-09-11,49.16810017635621
53077,Yakima,Washington,2021-09-11,71.19777718492409
53053,Pierce,Washington,2021-09-11,67.2413951370867
53007,Chelan,Washington,2021-09-11,74.15338862428781
