fips,county,state,start_date,avg_delta_cases_per_100k
06075,San Francisco,California,2021-03-11,9.895175267028497
06001,Alameda,California,2021-03-11,10.077861679665828
06013,Contra Costa,California,2021-03-11,13.731459494641202
06041,Marin,California,2021-03-11,6.931874700883424
06055,Napa,California,2021-03-11,11.287149878992182
06081,San Mateo,California,2021-03-11,8.09612017392269
06085,Santa Clara,California,2021-03-11,7.404464021166181
06095,Solano,California,2021-03-11,15.466686554071922
06097,Sonoma,California,2021-03-11,11.066555742373634
41051,Multnomah,Oregon,2021-03-11,11.66227026319627
41009,Columbia,Oregon,2021-03-11,18.050563643406672
41027,Hood River,Oregon,2021-03-11,10.830755011931881
41005,Clackamas,Oregon,2021-03-11,15.085931847905082
41067,Washington,Oregon,2021-03-11,10.7738875390532
53033,King,Washington,2021-03-11,13.474665631258619
53061,Snohomish,Washington,2021-03-11,14.986819451102798
53035,Kitsap,Washington,2021-03-11,14.082659453746077
53037,Kittitas,Washington,2021-03-11,21.42505855371116
53077,Yakima,Washington,2021-03-11,22.232903274211
53053,Pierce,Washington,2021-03-11,21.40446481489243
53007,Chelan,Washington,2021-03-11,20.907202268904907
