date,county,state,fips,cases,deaths,delta_cases
2021-12-21,Multnomah,Oregon,41051.0,62889,893.0,969.0
2021-12-28,Multnomah,Oregon,41051.0,64752,900.0,1863.0
2022-01-04,Multnomah,Oregon,41051.0,69166,911.0,4414.0
2022-01-11,Multnomah,Oregon,41051.0,80142,925.0,10976.0
2022-01-18,Multnomah,Oregon,41051.0,90126,934.0,9984.0
2022-01-25,Multnomah,Oregon,41051.0,97855,949.0,7729.0
2022-02-01,Multnomah,Oregon,41051.0,103280,964.0,5425.0
2022-02-08,Multnomah,Oregon,41051.0,106614,993.0,3334.0
2022-02-15,Multnomah,Oregon,41051.0,108689,1015.0,2075.0
2022-02-22,Multnomah,Oregon,41051.0,109934,1023.0,1245.0
2022-03-01,Multnomah,Oregon,41051.0,110800,1054.0,866.0
