123820,125608,127565,129951,Faulkner,Arkansas
17139,17166,17270,17468,Franklin,Arkansas
12054,12147,12355,12421,Fulton,Arkansas
100258,100393,99982,99784,Garland,Arkansas
18018,18123,18129,18383,Grant,Arkansas
45864,46341,46408,46743,Greene,Arkansas
19989,19667,19481,19343,Hempstead,Arkansas
33075,33079,33149,33258,Hot Spring,Arkansas
12757,12695,12622,12533,Howard,Arkansas
37940,38100,38254,38320,Independence,Arkansas
13602,13921,14029,14169,Izard,Arkansas
16761,16781,16654,16784,Jackson,Arkansas
66830,65637,64295,63661,Jefferson,Arkansas
25724,25957,25970,26129,Johnson,Arkansas
6293,6159,6129,6095,Lafayette,Arkansas
16218,16329,16194,16318,Lawrence,Arkansas
8526,8560,8367,8201,Lee,Arkansas
12890,13168,12910,12898,Lincoln,Arkansas
11974,11973,11865,11805,Little River,Arkansas
21100,21229,21258,21400,Logan,Arkansas
74055,74770,75199,75944,Lonoke,Arkansas
16545,16944,17463,17775,Madison,Arkansas
16873,16984,17289,17514,Marion,Arkansas
42588,42494,42608,42415,Miller,Arkansas
40538,39534,38863,38663,Mississippi,Arkansas
6776,6648,6568,6512,Monroe,Arkansas
8485,8635,8543,8620,Montgomery,Arkansas
8284,8184,8179,8120,Nevada,Arkansas
7196,7167,7101,7071,Newton,Arkansas
22615,22312,21994,21793,Ouachita,Arkansas
9997,9995,10073,10184,Perry,Arkansas
16440,15825,15350,14961,Phillips,Arkansas
10162,10114,10159,10208,Pike,Arkansas
22954,22691,22453,22397,Poinsett,Arkansas
19177,19333,19334,19436,Polk,Arkansas
63410,63778,64053,64593,Pope,Arkansas
8249,8095,8077,8036,Prairie,Arkansas
399274,398108,399387,400009,Pulaski,Arkansas
18595,18839,18852,18907,Randolph,Arkansas
23021,22715,22402,22101,St. Francis,Arkansas
123826,125382,127415,129574,Saline,Arkansas
9834,9795,9796,9851,Scott,Arkansas
7840,7893,7906,7806,Searcy,Arkansas
127808,128342,129109,129098,Sebastian,Arkansas
15778,15714,15738,15632,Sevier,Arkansas
17314,17691,17836,17968,Sharp,Arkansas
12349,12441,12585,12671,Stone,Arkansas
38931,38375,37813,37397,Union,Arkansas
15799,15777,16103,16142,Van Buren,Arkansas
246774,251767,256682,261549,Washington,Arkansas
76860,77109,77616,78452,White,Arkansas
6224,6146,6057,5964,Woodruff,Arkansas
20212,20135,20091,20044,Yell,Arkansas
1680466,1644047,1628259,1622188,Alameda,California
1205,1229,1190,1141,Alpine,California
40525,41228,41493,41811,Amador,California
210151,206336,207369,207172,Butte,California
45348,46249,46556,46565,Calaveras,California
21864,21919,21909,22037,Colusa,California
1166069,1163941,1157019,1155025,Contra Costa,California
27604,27584,27112,26589,Del Norte,California
191245,193704,192787,192215,El Dorado,California
1009552,1013103,1015359,1017162,Fresno,California
28904,28718,28360,28129,Glenn,California
136262,134897,134944,133985,Humboldt,California
179612,179138,178940,179057,Imperial,California
18987,18924,18742,18527,Inyo,California
905910,912709,916751,913820,Kern,California
152844,152775,152987,152682,Kings,California
68199,68645,68172,67878,Lake,California
32315,31885,30020,28861,Lassen,California
9992813,9809462,9719765,9663345,Los Angeles,California
156345,158966,160329,162858,Madera,California
